FILE_ID,TRACK_ID,TIME,SIGNAL,NEXT_SIGNAL,TIME_TO_NEXT_SIGNAL,SEGMENT,SPEED_MPS,LEAD_VEHICLE,RELEV_VEHICLE,PEDESTRIAN,VEH_INH_LOW,VEH_INH_HIGH,EXC_LOW,EXC_HIGH,PED_INH_LOW,PED_INH_HIGH,RULE_LOW,RULE_HIGH
769,100,100.1,G,Y,10-30,ln_s_2,NEAR STATIONARY,Y,N,N,,,,,,,,
769,88,100.1,G,Y,10-30,prep-turn_s,SLOW,Y,Y,N,,,,,,,,
769,100,101.101,G,Y,10-30,ln_s_2,SLOW,Y,N,N,,,,,,,,
769,88,101.101,G,Y,10-30,prep-turn_s,SLOW,Y,Y,N,0,0,1,1,0,0,0,0
769,100,102.102,G,Y,10-30,ln_s_2,SLOW,Y,N,N,0,0,1,1,0,0,0,0
769,88,102.102,G,Y,10-30,prep-turn_s,SLOW,Y,Y,N,,,,,,,,
769,100,103.103,G,Y,10-30,ln_s_2,SLOW,Y,N,N,0,0,1,1,0,0,0,0
769,99,103.103,G,Y,10-30,prep-turn_s,SLOW,Y,Y,N,,,,,,,,
769,100,104.104,G,Y,10-30,ln_s_2,SLOW,Y,N,N,,,,,,,,
769,99,104.104,G,Y,10-30,prep-turn_s,SLOW,Y,Y,N,,,,,,,,
769,100,105.105,G,Y,10-30,ln_s_2,SLOW,Y,N,N,0,0,1,1,0,0,0,0
769,99,105.105,G,Y,10-30,prep-turn_s,MEDIUM,Y,Y,N,,,,,,,,
769,100,106.106,G,Y,10-30,prep-turn_s,MEDIUM,Y,N,N,0,0,1,1,0,0,0,0
769,99,106.106,G,Y,10-30,prep-turn_s,MEDIUM,Y,Y,N,0,0,1,1,0,0,0,0
769,100,107.107,G,Y,10-30,prep-turn_s,MEDIUM,Y,N,N,0,0,1,1,0,0,0,0
769,99,107.107,G,Y,10-30,exec-turn_s,MEDIUM,Y,Y,N,,,,,,,,
769,100,108.108,G,Y,10-30,exec-turn_s,MEDIUM,Y,N,N,0,0,0,0,0,0,1,1
769,99,108.108,G,Y,10-30,exec-turn_s,MEDIUM,Y,Y,N,,,,,,,,
769,100,109.109,G,Y,10-30,exec-turn_s,MEDIUM,Y,N,N,,,,,,,,
769,99,109.109,G,Y,10-30,exec-turn_s,MEDIUM,Y,Y,N,,,,,,,,
769,100,88.088,G,Y,GT 30,ln_s_2,SLOW,Y,N,Y,0,0.89606655,0,0.10393345,1,0,0,0
769,58,88.088,G,Y,GT 30,prep-turn_s,SLOW,N,Y,Y,0,0.91048949,0,0.089510507,1,0,0,0
769,100,88.088,G,Y,GT 30,ln_s_2,SLOW,Y,N,Y,0,0.89606655,0,0.10393345,1,0,0,0
769,58,88.088,G,Y,GT 30,prep-turn_s,SLOW,N,Y,Y,0,0.91048949,0,0.089510507,1,0,0,0
769,100,89.089,G,Y,GT 30,ln_s_2,SLOW,Y,N,Y,0,0.86100736,0,0.13899264,1,0,0,0
769,58,89.089,G,Y,GT 30,prep-turn_s,SLOW,N,Y,Y,0,0.90449412,0,0.095505882,1,0,0,0
769,100,89.089,G,Y,GT 30,ln_s_2,SLOW,Y,N,Y,0,0.86100736,0,0.13899264,1,0,0,0
769,58,89.089,G,Y,GT 30,prep-turn_s,SLOW,N,Y,Y,0,0.90449412,0,0.095505882,1,0,0,0
769,100,90.09,G,Y,GT 30,ln_s_2,SLOW,Y,N,Y,0,0.88843259,0,0.11156741,1,0,0,0
769,58,90.09,G,Y,GT 30,prep-turn_s,SLOW,N,Y,Y,0,0.91971968,0,0.080280321,1,0,0,0
769,100,90.09,G,Y,GT 30,ln_s_2,SLOW,Y,N,Y,0,0.88843259,0,0.11156741,1,0,0,0
769,58,90.09,G,Y,GT 30,prep-turn_s,SLOW,N,Y,Y,0,0.91971968,0,0.080280321,1,0,0,0
769,100,91.091,G,Y,GT 30,ln_s_2,NEAR STATIONARY,Y,N,Y,0,0.95084132,0,0.049158683,1,0,0,0
769,58,91.091,G,Y,GT 30,prep-turn_s,SLOW,N,Y,Y,1,0.95124146,0,0.048758543,0,0,0,0
769,100,91.091,G,Y,GT 30,ln_s_2,NEAR STATIONARY,Y,N,Y,0,0.95084132,0,0.049158683,1,0,0,0
769,58,91.091,G,Y,GT 30,prep-turn_s,SLOW,N,Y,Y,1,0.95124146,0,0.048758543,0,0,0,0
769,100,92.092,G,Y,GT 30,ln_s_2,NEAR STATIONARY,Y,N,Y,1,0.18761403,0,0.81238597,0,0,0,0
769,88,92.092,G,Y,GT 30,prep-turn_s,SLOW,Y,Y,Y,1,1,0,0,0,0,0,0
769,100,92.092,G,Y,GT 30,ln_s_2,NEAR STATIONARY,Y,N,Y,1,0.18761403,0,0.81238597,0,0,0,0
769,88,92.092,G,Y,GT 30,prep-turn_s,SLOW,Y,Y,Y,1,1,0,0,0,0,0,0
769,100,93.093,G,Y,GT 30,ln_s_2,NEAR STATIONARY,Y,N,Y,1,0.22605635,0,0.77394365,0,0,0,0
769,88,93.093,G,Y,GT 30,prep-turn_s,SLOW,Y,Y,Y,1,1,0,0,0,0,0,0
769,100,93.093,G,Y,GT 30,ln_s_2,NEAR STATIONARY,Y,N,Y,1,0.22605635,0,0.77394365,0,0,0,0
769,88,93.093,G,Y,GT 30,prep-turn_s,SLOW,Y,Y,Y,1,1,0,0,0,0,0,0
769,100,94.094,G,Y,GT 30,ln_s_2,NEAR STATIONARY,Y,N,N,1,0.25235935,0,0.74764065,0,0,0,0
769,88,94.094,G,Y,GT 30,prep-turn_s,SLOW,Y,Y,N,1,0.10949852,0,0.89050148,0,0,0,0
769,100,95.095,G,Y,GT 30,ln_s_2,NEAR STATIONARY,Y,N,N,1,0.27862534,0,0.72137466,0,0,0,0
769,88,95.095,G,Y,GT 30,prep-turn_s,NEAR STATIONARY,Y,Y,N,1,0.12563429,0,0.87436571,0,0,0,0
769,100,96.096,G,Y,GT 30,ln_s_2,NEAR STATIONARY,Y,N,N,1,0.16711178,0,0.83288822,0,0,0,0
769,88,96.096,G,Y,GT 30,prep-turn_s,NEAR STATIONARY,Y,Y,N,1,0.027551787,0,0.97244821,0,0,0,0
769,100,97.097,G,Y,10-30,ln_s_2,NEAR STATIONARY,Y,N,N,,,,,,,,
769,88,97.097,G,Y,10-30,prep-turn_s,NEAR STATIONARY,Y,Y,N,0,0,1,1,0,0,0,0
769,100,98.098,G,Y,10-30,ln_s_2,NEAR STATIONARY,Y,N,N,,,,,,,,
769,88,98.098,G,Y,10-30,prep-turn_s,NEAR STATIONARY,Y,Y,N,,,,,,,,
769,100,99.099,G,Y,10-30,ln_s_2,NEAR STATIONARY,Y,N,N,1,0.18675475,0,0.81324525,0,0,0,0
769,88,99.099,G,Y,10-30,prep-turn_s,SLOW,Y,Y,N,1,0,0,1,0,0,0,0
769,106,90.924167,G,Y,GT 30,ln_s_4,MEDIUM,N,Y,Y,1,1,0,0,0,0,0,0
769,108,90.924167,G,Y,GT 30,ln_n_1,NEAR STATIONARY,N,Y,Y,1,1,0,0,0,0,0,0
769,106,91.925167,G,Y,GT 30,ln_s_4,MEDIUM,N,Y,Y,0,0.99999996,0,4.4062997e-08,1,0,0,0
769,108,91.925167,G,Y,GT 30,ln_n_1,NEAR STATIONARY,N,Y,Y,0,0.99999997,0,2.9929139e-08,1,0,0,0
769,106,92.926167,G,Y,GT 30,rt_prep-turn_s,MEDIUM,N,Y,Y,0,1,0,6.5295878e-10,1,0,0,0
769,108,92.926167,G,Y,GT 30,ln_n_1,NEAR STATIONARY,N,Y,Y,0,1,0,4.1819034e-10,1,0,0,0
769,106,93.927167,G,Y,GT 30,rt_exec-turn_s,MEDIUM,N,Y,Y,0,0,0,0,1,1,0,0
769,108,93.927167,G,Y,GT 30,exec-turn_n,NEAR STATIONARY,N,Y,Y,0,0,0,1,1,0,0,0
769,106,94.928167,G,Y,GT 30,rt_exec-turn_s,MEDIUM,N,Y,Y,0,0,0,1,1,0,0,0
769,108,94.928167,G,Y,GT 30,exec-turn_n,SLOW,N,Y,Y,0,0,0,0,1,1,0,0
769,106,94.928167,G,Y,GT 30,rt_exec-turn_s,MEDIUM,N,Y,Y,0,0,0,1,1,0,0,0
769,108,94.928167,G,Y,GT 30,exec-turn_n,SLOW,N,Y,Y,0,0,0,0,1,1,0,0
769,109,100.934167,G,Y,10-30,rt_prep-turn_s,SLOW,N,Y,Y,0,0,0,0,1,1,0,0
769,108,100.934167,G,Y,10-30,exec-turn_n,NEAR STATIONARY,N,Y,Y,0,0,0,0,1,1,0,0
769,109,101.935167,G,Y,10-30,rt_exec-turn_s,MEDIUM,N,Y,Y,0,0,0,0,1,1,0,0
769,108,101.935167,G,Y,10-30,exec-turn_n,SLOW,N,Y,N,,,,,,,,
769,109,102.936167,G,Y,10-30,rt_exec-turn_s,MEDIUM,N,Y,Y,0,0,0,0,1,1,0,0
769,108,102.936167,G,Y,10-30,exec-turn_n,MEDIUM,N,Y,N,0,0,1,1,0,0,0,0
769,109,93.927167,G,Y,GT 30,ln_s_4,MEDIUM,N,Y,Y,0,0,0,0,0,0,1,1
769,108,93.927167,G,Y,GT 30,exec-turn_n,NEAR STATIONARY,N,Y,Y,0,0,0,1,1,0,0,0
769,109,94.928167,G,Y,GT 30,ln_s_4,MEDIUM,N,Y,Y,0,0,0,0,0,0,1,1
769,108,94.928167,G,Y,GT 30,exec-turn_n,SLOW,N,Y,Y,0,0,0,0,0,0,1,1
769,109,94.928167,G,Y,GT 30,ln_s_4,MEDIUM,N,Y,Y,0,0,0,0,0,0,1,1
769,108,94.928167,G,Y,GT 30,exec-turn_n,SLOW,N,Y,Y,0,0,0,0,0,0,1,1
769,109,95.929167,G,Y,GT 30,ln_s_4,MEDIUM,N,Y,Y,0,0,0,0,0,0,1,1
769,108,95.929167,G,Y,GT 30,exec-turn_n,SLOW,N,Y,Y,0,0,0,1,1,0,0,0
769,109,96.930167,G,Y,10-30,rt_prep-turn_s,SLOW,N,Y,Y,0,0,0,0,0,0,1,1
769,108,96.930167,G,Y,10-30,exec-turn_n,SLOW,N,Y,Y,0,0,0,0,1,1,0,0
769,109,97.931167,G,Y,10-30,rt_prep-turn_s,SLOW,N,Y,Y,0,0,0,0,0,0,1,1
769,108,97.931167,G,Y,10-30,exec-turn_n,SLOW,N,Y,Y,0,0,0,0,0,0,1,1
769,109,97.931167,G,Y,10-30,rt_prep-turn_s,SLOW,N,Y,Y,0,0,0,0,0,0,1,1
769,108,97.931167,G,Y,10-30,exec-turn_n,SLOW,N,Y,Y,0,0,0,0,0,0,1,1
769,109,98.932167,G,Y,10-30,rt_prep-turn_s,SLOW,N,Y,Y,0,0,0,0,0,0,1,1
769,108,98.932167,G,Y,10-30,exec-turn_n,SLOW,N,Y,Y,0,0,0,0,0,0,1,1
769,109,98.932167,G,Y,10-30,rt_prep-turn_s,SLOW,N,Y,Y,0,0,0,0,0,0,1,1
769,108,98.932167,G,Y,10-30,exec-turn_n,SLOW,N,Y,Y,0,0,0,0,0,0,1,1
769,109,99.933167,G,Y,10-30,rt_prep-turn_s,SLOW,N,Y,Y,0,0,0,0,1,1,0,0
769,108,99.933167,G,Y,10-30,exec-turn_n,SLOW,N,Y,Y,0,0,0,0,0,0,1,1
769,109,99.933167,G,Y,10-30,rt_prep-turn_s,SLOW,N,Y,Y,0,0,0,0,1,1,0,0
769,108,99.933167,G,Y,10-30,exec-turn_n,SLOW,N,Y,Y,0,0,0,0,0,0,1,1
769,115,100.767333,G,Y,10-30,ln_s_4,SLOW,Y,N,Y,0,0,0,1,1,0,0,0
769,109,100.767333,G,Y,10-30,rt_prep-turn_s,SLOW,N,Y,Y,0,0,0,0,1,1,0,0
769,115,101.768333,G,Y,10-30,ln_s_4,MEDIUM,N,Y,Y,0,0,0,0,1,1,0,0
769,108,101.768333,G,Y,10-30,exec-turn_n,SLOW,N,Y,N,0,0,0,0,0,0,1,1
769,124,101.768333,G,Y,10-30,ln_n_1,MEDIUM,N,Y,N,0,0,1,1,0,0,0,0
769,115,102.769333,G,Y,10-30,ln_s_4,MEDIUM,N,Y,Y,0,0,0,0,0,0,1,1
769,108,102.769333,G,Y,10-30,exec-turn_n,MEDIUM,N,Y,N,0,0,0,0,0,0,1,1
769,124,102.769333,G,Y,10-30,ln_n_1,MEDIUM,N,Y,N,0,0,1,1,0,0,0,0
769,115,103.770333,G,Y,10-30,ln_s_4,MEDIUM,N,Y,Y,0,0,0,0,0,0,1,1
769,108,103.770333,G,Y,10-30,exec-turn_n,MEDIUM,N,Y,N,0,0,0,0,0,0,1,1
769,124,103.770333,G,Y,10-30,ln_n_1,MEDIUM,N,Y,N,0,0,1,1,0,0,0,0
769,115,104.771333,G,Y,10-30,rt_prep-turn_s,MEDIUM,N,Y,Y,0,0,0,0,0,0,1,1
769,108,104.771333,G,Y,10-30,exec-turn_n,MEDIUM,N,Y,N,0,0,0,0,0,0,1,1
769,124,104.771333,G,Y,10-30,ln_n_1,MEDIUM,N,Y,N,0,0,1,1,0,0,0,0
769,115,105.772333,G,Y,10-30,rt_prep-turn_s,MEDIUM,N,Y,Y,0,0,0,0,1,1,0,0
769,108,105.772333,G,Y,10-30,exec-turn_n,MEDIUM,N,Y,N,0,0,0,0,0,0,1,1
769,124,105.772333,G,Y,10-30,ln_n_1,MEDIUM,N,Y,N,0,0,1,1,0,0,0,0
769,115,106.773333,G,Y,10-30,rt_exec-turn_s,MEDIUM,Y,Y,Y,0,0,0,1,1,0,0,0
769,108,106.773333,G,Y,10-30,ln_e_-1,MEDIUM,N,Y,N,0,0,1,1,0,0,0,0
769,124,106.773333,G,Y,10-30,ln_n_1,MEDIUM,N,Y,N,,,,,,,,
769,115,107.774333,G,Y,10-30,rt_exec-turn_s,MEDIUM,N,Y,Y,0,0,0,0,1,1,0,0
769,108,107.774333,G,Y,10-30,ln_e_-1,MEDIUM,N,Y,N,0,0,1,1,0,0,0,0
769,124,107.774333,G,Y,10-30,ln_n_1,MEDIUM,N,Y,N,,,,,,,,
769,119,103.269833,G,Y,10-30,ln_s_1,SLOW,Y,N,N,0,0,0,0,0,0,1,1
769,99,103.269833,G,Y,10-30,prep-turn_s,SLOW,Y,Y,N,0,0,1,1,0,0,0,0
769,119,104.270833,G,Y,10-30,ln_s_1,SLOW,Y,N,N,0,0,0,0,0,0,1,1
769,99,104.270833,G,Y,10-30,prep-turn_s,SLOW,Y,Y,N,0.18154233,0,0.81845767,1,0,0,0,0
769,119,106.272833,G,Y,10-30,ln_s_1,SLOW,Y,N,N,0,0,0,0,0,0,1,1
769,100,106.272833,G,Y,10-30,prep-turn_s,MEDIUM,Y,Y,N,,,,,,,,
769,119,107.273833,G,Y,10-30,ln_s_1,SLOW,Y,Y,N,0,0,0,0,0,0,1,1
769,100,107.273833,G,Y,10-30,prep-turn_s,MEDIUM,Y,Y,N,0,0,1,1,0,0,0,0
769,125,107.273833,G,Y,10-30,ln_n_2,MEDIUM,N,Y,N,0,0,0,0,0,0,1,1
769,119,108.274833,G,Y,10-30,prep-turn_s,SLOW,Y,Y,N,0,0,0,0,0,0,1,1
769,100,108.274833,G,Y,10-30,exec-turn_s,MEDIUM,Y,Y,N,0,0,0,0,0,0,1,1
769,125,108.274833,G,Y,10-30,ln_n_2,MEDIUM,N,Y,N,0,0,0,0,0,0,1,1
769,119,109.275833,G,Y,10-30,prep-turn_s,SLOW,Y,Y,N,0,0,0,0,0,0,1,1
769,100,109.275833,G,Y,10-30,exec-turn_s,MEDIUM,Y,Y,N,,,,,,,,
769,125,109.275833,G,Y,10-30,ln_n_2,MEDIUM,N,Y,N,0,0,0,0,0,0,1,1
769,119,110.276833,G,Y,10-30,prep-turn_s,SLOW,Y,Y,N,0,0,0,0,0,0,1,1
769,100,110.276833,G,Y,10-30,exec-turn_s,MEDIUM,N,Y,N,0,0,0,0,0,0,1,1
769,125,110.276833,G,Y,10-30,l_n_s_l,HIGH,N,Y,N,0,0,0,0,0,0,1,1
769,128,110.276833,G,Y,10-30,ln_n_3,MEDIUM,N,Y,N,0,0,0,0,0,0,1,1
769,119,111.277833,G,Y,10-30,prep-turn_s,SLOW,N,Y,N,1,0.14884686,0,0.85115314,0,0,0,0
769,125,111.277833,G,Y,10-30,l_n_s_l,HIGH,N,Y,N,0,0,0,0,0,0,1,1
769,128,111.277833,G,Y,10-30,ln_n_3,MEDIUM,N,Y,N,0,0,0,0,0,0,1,1
769,119,112.278833,G,Y,10-30,prep-turn_s,NEAR STATIONARY,N,Y,N,0,0,0,0,0,0,1,1
769,125,112.278833,G,Y,10-30,l_n_s_l,HIGH,N,Y,N,0,0,0,0,0,0,1,1
769,128,112.278833,G,Y,10-30,ln_n_3,HIGH,N,Y,N,0,0,0,0,0,0,1,1
769,119,113.279833,G,Y,10-30,prep-turn_s,SLOW,N,Y,N,0,0,0,0,0,0,1,1
769,128,113.279833,G,Y,10-30,l_n_s_r,HIGH,N,Y,N,0,0,0,0,0,0,1,1
769,119,114.280833,G,Y,10-30,prep-turn_s,SLOW,N,Y,N,0,0,0,0,0,0,1,1
769,128,114.280833,G,Y,10-30,l_n_s_r,HIGH,N,Y,N,0,0,0,0,0,0,1,1
769,11,0,G,R,GT 30,prep-turn_s,NEAR STATIONARY,N,Y,N,,,,,,,,
769,1,0,G,R,GT 30,l_n_s_l,HIGH,Y,Y,N,0,0,0,0,0,0,1,1
769,3,0,G,R,GT 30,l_n_s_l,HIGH,N,Y,N,0,0,0,0,0,0,1,1
769,20,0,G,R,GT 30,ln_n_2,HIGH,Y,Y,N,0,0,0,0,0,0,1,1
769,11,1.001,G,R,GT 30,prep-turn_s,NEAR STATIONARY,N,Y,N,1,0.13161327,0,0.86838673,0,0,0,0
769,1,1.001,G,R,GT 30,l_n_s_l,HIGH,N,Y,N,0,0,0,0,0,0,1,1
769,20,1.001,G,R,GT 30,l_n_s_l,HIGH,Y,Y,N,0,0,0,0,0,0,1,1
769,11,2.002,G,R,GT 30,prep-turn_s,NEAR STATIONARY,N,Y,N,0,0,0,0,0,0,1,1
769,20,2.002,G,R,GT 30,l_n_s_l,HIGH,N,Y,N,0,0,0,0,0,0,1,1
769,11,3.003,G,R,10-30,prep-turn_s,SLOW,N,Y,N,0,0,0,0,0,0,1,1
769,23,3.003,G,R,10-30,ln_n_3,MEDIUM,N,Y,N,0,0,0,0,0,0,1,1
769,11,4.004,G,R,10-30,prep-turn_s,SLOW,N,Y,N,0,0,0,0,0,0,1,1
769,23,4.004,G,R,10-30,ln_n_3,MEDIUM,N,Y,N,0,0,0,0,0,0,1,1
769,11,5.005,G,R,10-30,prep-turn_s,SLOW,N,Y,N,0,0,0,0,0,0,1,1
769,23,5.005,G,R,10-30,ln_n_3,MEDIUM,N,Y,N,0,0,0,0,0,0,1,1
769,11,6.006,G,R,10-30,exec-turn_s,MEDIUM,N,Y,N,0,0,0,0,0,0,1,1
769,23,6.006,G,R,10-30,l_n_s_r,HIGH,N,Y,N,0,0,0,0,0,0,1,1
769,11,7.007,G,R,10-30,exec-turn_s,MEDIUM,N,Y,N,0,0,0,0,0,0,1,1
769,23,7.007,G,R,10-30,l_n_s_r,HIGH,N,Y,N,0,0,0,0,0,0,1,1
769,28,7.007,G,R,10-30,ln_n_3,MEDIUM,N,Y,N,0,0,0,0,0,0,1,1
769,11,8.008,G,R,10-30,exec-turn_s,MEDIUM,N,Y,N,0,0,0,0,0,0,1,1
769,28,8.008,G,R,10-30,ln_n_3,MEDIUM,N,Y,N,0,0,0,0,0,0,1,1
769,11,9.009,G,R,10-30,exec-turn_s,MEDIUM,N,Y,N,0,0,0,0,0,0,1,1
769,28,9.009,G,R,10-30,ln_n_3,MEDIUM,N,Y,N,0,0,0,0,0,0,1,1
769,121,105.6055,G,Y,10-30,ln_s_1,SLOW,Y,N,N,0,0,0,0,0,0,1,1
769,119,105.6055,G,Y,10-30,ln_s_1,SLOW,Y,Y,N,0,0,0,0,0,0,1,1
769,121,106.6065,G,Y,10-30,ln_s_1,SLOW,Y,N,N,0,0,0,0,0,0,1,1
769,119,106.6065,G,Y,10-30,ln_s_1,SLOW,Y,Y,N,0,0,0,0,0,0,1,1
769,121,107.6075,G,Y,10-30,ln_s_1,SLOW,Y,Y,N,0,0,0,0,0,0,1,1
769,119,107.6075,G,Y,10-30,ln_s_1,SLOW,N,Y,N,,,,,,,,
