EQ_TYPE,SEGMENT,TASK,NEXT_CHANGE,SPEED,PEDESTRIAN,RELEV_VEHICLE,ACTIONS,AGGRESSIVE,FILE_ID,TRACK_ID,TIME,ON_EQ
L1BR|BASELINE_ONLY,prep-left-turn,S_W,<10-Y/R,LOW  SPEED,PEDESTRIAN,RL  0,acts-1,Y,780,219,234.7345,0.0010120000000000129
L1BR|BASELINE_ONLY,prep-left-turn,S_W,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,RL  0,acts-2,N,780,139,133.800333,0.0005119999999999569
L1BR|BASELINE_ONLY,prep-left-turn,S_W,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,  RL  <EQ  2,acts-3,N,780,139,125.792333,0
L1BR|BASELINE_ONLY,prep-left-turn,S_W,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,  RL  <EQ  2,acts-3,Y,780,139,127.794333,0.0
L1BR|BASELINE_ONLY,prep-left-turn,S_W,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,RL  0,acts-1,Y,780,58,92.425667,0
L1BR|BASELINE_ONLY,prep-left-turn,S_W,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,  RL  <EQ  2,acts-1,N,780,132,123.289833,0
L1BR|BASELINE_ONLY,prep-left-turn,S_W,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,  RL  >  2,acts-1,Y,780,132,118.284833,0.06723000000000001
L1BR|BASELINE_ONLY,prep-left-turn,S_W,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,  RL  >  2,acts-1,Y,780,132,118.284833,0.06723000000000001
L1BR|BASELINE_ONLY,prep-left-turn,S_W,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,  RL  >  2,acts-1,Y,780,132,119.285833,0.04639700000000002
L1BR|BASELINE_ONLY,prep-left-turn,S_W,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,  RL  >  2,acts-1,Y,780,132,119.285833,0.04639700000000002
L1BR|BASELINE_ONLY,prep-left-turn,S_W,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,  RL  >  2,acts-1,N,780,132,120.286833,0.06745299999999999
L1BR|BASELINE_ONLY,prep-left-turn,S_W,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,  RL  >  2,acts-1,N,780,132,120.286833,0.06745299999999999
L1BR|BASELINE_ONLY,prep-left-turn,S_W,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,  RL  >  2,acts-1,N,780,132,121.287833,0.058612
