EQ_TYPE,SEGMENT,SIGNAL,NEXT_CHANGE,SPEED,PEDESTRIAN,LEAD_VEHICLE,RELEV_VEHICLE,ACTIONS,ON_EQ
NASH|BR|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-1,0.009467000000000003
NASH|BR|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-1,0.0006839999999999069
NASH|BR|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-1,0.0376470000000001
NASH|BR|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0.029648000000000008
NASH|BR|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0.03302500000000008
NASH|BR|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0.05517899999999998
NASH|BR|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0.031927999999999956
NASH|BR|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0.026827999999999963
NASH|BR|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0.027603999999999962
NASH|BR|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0.03163300000000002
NASH|BR|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0.0014920000000000488
NASH|BR|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0.001526999999999945
NASH|BR|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-2,0.0014480000000000048
NASH|BR|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,<10-Y/R,MEDIUM  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-1,0
NASH|BR|BOUNDARY,prep-left-turn,G,<10-Y/R,MEDIUM  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-1,0.0006839999999999069
NASH|BR|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-2,0.0014480000000000048
NASH|BR|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-3,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-3,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-3,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-3,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-3,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-3,0.07503199999999999
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-3,0.07503199999999999
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-3,0.03222999999999998
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-3,0.08544399999999996
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-3,0.04512299999999991
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-3,0.04512299999999991
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-3,0.04302600000000001
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-3,0.04302600000000001
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-3,0.04031399999999996
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-3,0.04031399999999996
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-3,0.06603000000000003
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-3,0.033748
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-3,0.03892099999999998
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-3,0.03892099999999998
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-3,0.08432899999999999
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-3,0.01898999999999995
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0.01025799999999999
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0.07485200000000003
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0.07485200000000003
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0.07877
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0.07877
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0.07849299999999992
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0.07849299999999992
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0.09705200000000003
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0.050649000000000055
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0.03632500000000005
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0.03632500000000005
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0.03511999999999993
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0.03511999999999993
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0.03563799999999995
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0.03783800000000004
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0.006492999999999971
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0.01590999999999998
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0.03478999999999999
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0.03478999999999999
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0.03330300000000008
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0.03330300000000008
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  <EQ  2,acts-4,0.0007249999999999757
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  <EQ  2,acts-4,0.0007249999999999757
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0.0002609999999999557
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0.0002609999999999557
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-1,0.007522000000000029
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-1,0.08693499999999998
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-1,0.08287099999999992
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-1,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-1,0.075677
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-1,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-1,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,0.171898
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,0.07555699999999999
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0.08820700000000004
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0.004966999999999944
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0.026466999999999907
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0.030465000000000075
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0.04321700000000006
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0.022279999999999966
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0.030088000000000004
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0.008104
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0.03198000000000001
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0.05007099999999998
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0.038991
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0.027179999999999982
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0.00032399999999999096
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0.0021760000000000668
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,MEDIUM  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,MEDIUM  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-3,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-3,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-3,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-3,0
NASH|BR|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-3,0.07503199999999999
