EQ_TYPE,SEGMENT,SIGNAL,NEXT_CHANGE,SPEED,PEDESTRIAN,LEAD_VEHICLE,RELEV_VEHICLE,ACTIONS,ON_EQ
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0.42681299999999994
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0.42681299999999994
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0.14947499999999997
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0.173168
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-2,0.0013959999999999528
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-3,0.08000099999999999
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-3,0.030644000000000005
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-3,0.030306000000000055
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-3,0.030596999999999985
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-3,0.02674500000000002
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-3,0.028901999999999983
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-3,0.030464000000000047
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-3,0.030463000000000018
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-3,0.030154000000000014
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-3,0.02924199999999999
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-3,0.029067999999999983
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-3,0.533823
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-3,0.080202
BR|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-3,0.103321
