EQ_TYPE,SEGMENT,SIGNAL,NEXT_CHANGE,SPEED,PEDESTRIAN,LEAD_VEHICLE,RELEV_VEHICLE,ACTIONS,ON_EQ
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,0
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,0
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-2,0
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-2,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-2,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-2,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-2,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-2,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,0
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,0
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,0
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-3,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,0
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,0
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-2,0
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-2,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-2,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-2,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-2,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-2,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,0
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,0
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,0
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-3,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-1,0
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-1,0
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-1,0
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-1,0
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,0
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
MAXMIN|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0
