EQ_TYPE,SEGMENT,SIGNAL,NEXT_CHANGE,SPEED,PEDESTRIAN,LEAD_VEHICLE,RELEV_VEHICLE,ACTIONS,ON_EQ
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,0.006000000000000005
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,0.0062610000000000166
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0.03656300000000001
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,0.06683799999999995
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,0.06763700000000006
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,0.06852899999999995
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,0
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,0.002986000000000044
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,0.00692399999999993
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,0
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,0.034161
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-2,0
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-2,0.15896300000000008
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-2,0.49252899999999994
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-2,0.10030100000000003
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,0
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,0.00029200000000001447
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,0
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,0.0
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,0
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-3,0.002194999999999947
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,0.006000000000000005
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,0.0062610000000000166
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0.03656300000000001
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,0.06683799999999995
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,0.06763700000000006
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,0.06852899999999995
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,0
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,0.002986000000000044
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,0.00692399999999993
NASH|MAXMIN|GAUSSIAN,prep-left-turn,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,0
