EQ_TYPE,SEGMENT,TASK,SIGNAL,NEXT_CHANGE,SPEED,PEDESTRIAN,LEAD_VEHICLE,RELEV_VEHICLE,ACTIONS,ON_EQ
MAXMIN|MAXMIN|GAUSSIAN,prep-left-turn,S_W,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-1,1
MAXMIN|MAXMIN|GAUSSIAN,prep-left-turn,S_W,G,<10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-1,1
MAXMIN|MAXMIN|GAUSSIAN,prep-left-turn,S_W,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-2,1
MAXMIN|MAXMIN|GAUSSIAN,prep-left-turn,S_W,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-2,1
MAXMIN|MAXMIN|GAUSSIAN,prep-left-turn,S_W,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,0
MAXMIN|MAXMIN|GAUSSIAN,prep-left-turn,S_W,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,0
MAXMIN|MAXMIN|GAUSSIAN,prep-left-turn,S_W,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,1
MAXMIN|MAXMIN|GAUSSIAN,prep-left-turn,S_W,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,0
MAXMIN|MAXMIN|GAUSSIAN,prep-left-turn,S_W,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,0
MAXMIN|MAXMIN|GAUSSIAN,prep-left-turn,S_W,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,0
MAXMIN|MAXMIN|GAUSSIAN,prep-left-turn,S_W,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,1
MAXMIN|MAXMIN|GAUSSIAN,prep-left-turn,S_W,G,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-3,0
MAXMIN|MAXMIN|GAUSSIAN,prep-left-turn,S_W,G,<10-G,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-1,1
MAXMIN|MAXMIN|GAUSSIAN,prep-left-turn,S_W,G,<10-G,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-1,1
MAXMIN|MAXMIN|GAUSSIAN,prep-left-turn,S_W,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-2,1
MAXMIN|MAXMIN|GAUSSIAN,prep-left-turn,S_W,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-2,1
MAXMIN|MAXMIN|GAUSSIAN,prep-left-turn,S_W,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,0
MAXMIN|MAXMIN|GAUSSIAN,prep-left-turn,S_W,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,0
MAXMIN|MAXMIN|GAUSSIAN,prep-left-turn,S_W,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,1
MAXMIN|MAXMIN|GAUSSIAN,prep-left-turn,S_W,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,0
MAXMIN|MAXMIN|GAUSSIAN,prep-left-turn,S_W,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,0
MAXMIN|MAXMIN|GAUSSIAN,prep-left-turn,S_W,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,0
MAXMIN|MAXMIN|GAUSSIAN,prep-left-turn,S_W,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-3,1
MAXMIN|MAXMIN|GAUSSIAN,prep-left-turn,S_W,G,<10-G,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-3,0
MAXMIN|MAXMIN|GAUSSIAN,prep-left-turn,S_W,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-1,0
MAXMIN|MAXMIN|GAUSSIAN,prep-left-turn,S_W,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-1,1
MAXMIN|MAXMIN|GAUSSIAN,prep-left-turn,S_W,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-2,0
