EQ_TYPE,SEGMENT,TASK,NEXT_CHANGE,SPEED,PEDESTRIAN,RELEV_VEHICLE,LEAD_VEHICLE,AGGRESSIVE,FILE_ID,TRACK_ID,TIME,ON_EQ
MAXMIN|BASELINE_ONLY,right-turn-lane,W_S,GT 30-G,SLOW,Y,Y,N,deprecated,783,103,100.433667,0.0
MAXMIN|BASELINE_ONLY,right-turn-lane,W_S,GT 30-G,SLOW,Y,Y,N,deprecated,783,103,101.434667,0.030030749721198013
MAXMIN|BASELINE_ONLY,prep-right-turn,W_S,10-30-G,SLOW,Y,Y,N,deprecated,783,103,102.435667,0.00362594416982176
MAXMIN|BASELINE_ONLY,prep-right-turn,W_S,10-30-G,SLOW,Y,Y,N,deprecated,783,103,103.436667,0.0
MAXMIN|BASELINE_ONLY,right-turn-lane,W_S,GT 30-G,MEDIUM,Y,N,Y,deprecated,783,103,90.423667,0.03685717174989711
MAXMIN|BASELINE_ONLY,right-turn-lane,W_S,GT 30-G,MEDIUM,Y,N,Y,deprecated,783,103,91.424667,0.0
MAXMIN|BASELINE_ONLY,right-turn-lane,W_S,GT 30-G,MEDIUM,Y,N,Y,deprecated,783,103,92.425667,0.0
MAXMIN|BASELINE_ONLY,right-turn-lane,W_S,GT 30-G,MEDIUM,Y,N,Y,deprecated,783,103,93.426667,0.0
MAXMIN|BASELINE_ONLY,right-turn-lane,W_S,GT 30-G,MEDIUM,Y,N,Y,deprecated,783,103,94.427667,0.0
MAXMIN|BASELINE_ONLY,right-turn-lane,W_S,GT 30-G,SLOW,N,N,Y,deprecated,783,103,95.428667,0.0
MAXMIN|BASELINE_ONLY,right-turn-lane,W_S,GT 30-G,SLOW,N,N,Y,deprecated,783,103,96.429667,0.0
MAXMIN|BASELINE_ONLY,right-turn-lane,W_S,GT 30-G,SLOW,N,N,Y,deprecated,783,103,97.430667,0.2286047240152781
MAXMIN|BASELINE_ONLY,right-turn-lane,W_S,GT 30-G,SLOW,N,N,Y,deprecated,783,103,98.431667,0.2763222210908726
MAXMIN|BASELINE_ONLY,right-turn-lane,W_S,GT 30-G,SLOW,N,Y,N,deprecated,783,103,99.432667,0.0024510241357429408
MAXMIN|BASELINE_ONLY,left-turn-lane,E_S,GT 30-G,MEDIUM,N,N,Y,deprecated,783,112,100.1,0.0
MAXMIN|BASELINE_ONLY,left-turn-lane,E_S,GT 30-G,SLOW,N,N,Y,deprecated,783,112,101.101,0.0
MAXMIN|BASELINE_ONLY,left-turn-lane,E_S,GT 30-G,SLOW,N,N,Y,deprecated,783,112,102.102,0.0
MAXMIN|BASELINE_ONLY,left-turn-lane,E_S,GT 30-G,NEAR STATIONARY,N,N,Y,deprecated,783,112,103.103,0.0
MAXMIN|BASELINE_ONLY,left-turn-lane,E_S,GT 30-G,NEAR STATIONARY,N,N,Y,deprecated,783,112,104.104,0.0
MAXMIN|BASELINE_ONLY,left-turn-lane,E_S,GT 30-G,NEAR STATIONARY,N,N,Y,deprecated,783,112,105.105,0.0
MAXMIN|BASELINE_ONLY,left-turn-lane,E_S,GT 30-G,NEAR STATIONARY,N,N,Y,deprecated,783,112,106.106,0.0
MAXMIN|BASELINE_ONLY,left-turn-lane,E_S,GT 30-G,NEAR STATIONARY,N,N,Y,deprecated,783,112,107.107,0.0
