EQ_TYPE,SEGMENT,TASK,NEXT_CHANGE,SPEED,PEDESTRIAN,RELEV_VEHICLE,LEAD_VEHICLE,AGGRESSIVE,FILE_ID,TRACK_ID,TIME,ON_EQ
MAXMIN|MAXMIN|BOUNDARY,right-turn-lane,S_E,10-30-Y,MEDIUM,N,N,Y,deprecated,784,103,106.272833,0.24830451089799233
MAXMIN|MAXMIN|BOUNDARY,right-turn-lane,S_E,LT 10-Y,MEDIUM,N,Y,N,deprecated,784,125,125.291833,0.23234912313658918
MAXMIN|MAXMIN|BOUNDARY,right-turn-lane,S_E,LT 10-R,MEDIUM,N,Y,N,deprecated,784,125,126.292833,0.0
MAXMIN|MAXMIN|BOUNDARY,exec-right-turn,S_E,LT 10-R,MEDIUM,N,Y,N,deprecated,784,125,127.293833,0.1898789751043951
MAXMIN|MAXMIN|BOUNDARY,left-turn-lane,W_N,LT 10-G,MEDIUM,N,N,Y,deprecated,784,130,128.795333,0.0
MAXMIN|MAXMIN|BOUNDARY,left-turn-lane,W_N,LT 10-G,MEDIUM,N,N,Y,deprecated,784,130,129.796333,0.0
MAXMIN|MAXMIN|BOUNDARY,left-turn-lane,W_N,LT 10-G,MEDIUM,Y,N,Y,deprecated,784,130,130.797333,0.0
MAXMIN|MAXMIN|BOUNDARY,left-turn-lane,W_N,LT 10-G,SLOW,Y,N,Y,deprecated,784,130,131.798333,0.0
MAXMIN|MAXMIN|BOUNDARY,left-turn-lane,W_N,LT 10-G,SLOW,Y,N,Y,deprecated,784,130,132.799333,0.0
MAXMIN|MAXMIN|BOUNDARY,left-turn-lane,W_N,LT 10-G,SLOW,Y,Y,Y,deprecated,784,130,133.800333,0.0
MAXMIN|MAXMIN|BOUNDARY,left-turn-lane,W_N,LT 10-G,SLOW,Y,Y,Y,deprecated,784,130,134.801333,0.0
MAXMIN|MAXMIN|BOUNDARY,left-turn-lane,W_N,LT 10-G,NEAR STATIONARY,Y,Y,Y,deprecated,784,130,135.802333,0.0
MAXMIN|MAXMIN|BOUNDARY,left-turn-lane,W_N,LT 10-G,NEAR STATIONARY,Y,Y,Y,deprecated,784,130,136.803333,0.0
MAXMIN|MAXMIN|BOUNDARY,left-turn-lane,W_N,LT 10-G,NEAR STATIONARY,Y,Y,Y,deprecated,784,130,137.804333,0.0
MAXMIN|MAXMIN|BOUNDARY,left-turn-lane,W_N,LT 10-G,NEAR STATIONARY,Y,Y,Y,deprecated,784,130,138.805333,0.0
MAXMIN|MAXMIN|BOUNDARY,left-turn-lane,W_N,LT 10-G,NEAR STATIONARY,Y,Y,Y,deprecated,784,130,139.806333,0.0
MAXMIN|MAXMIN|BOUNDARY,left-turn-lane,W_N,LT 10-G,NEAR STATIONARY,Y,Y,Y,deprecated,784,130,140.807333,0.0
MAXMIN|MAXMIN|BOUNDARY,left-turn-lane,W_N,GT 30-Y,NEAR STATIONARY,Y,Y,Y,deprecated,784,130,141.808333,0.0
MAXMIN|MAXMIN|BOUNDARY,left-turn-lane,W_N,GT 30-Y,NEAR STATIONARY,Y,Y,Y,deprecated,784,130,142.809333,0.0
MAXMIN|MAXMIN|BOUNDARY,left-turn-lane,W_N,10-30-Y,NEAR STATIONARY,Y,Y,Y,deprecated,784,130,143.810333,0.0
MAXMIN|MAXMIN|BOUNDARY,left-turn-lane,W_N,10-30-Y,NEAR STATIONARY,Y,Y,Y,deprecated,784,130,144.811333,0.0
MAXMIN|MAXMIN|BOUNDARY,left-turn-lane,W_N,10-30-Y,NEAR STATIONARY,Y,Y,Y,deprecated,784,130,145.812333,0.0
MAXMIN|MAXMIN|BOUNDARY,left-turn-lane,W_N,10-30-Y,NEAR STATIONARY,Y,Y,Y,deprecated,784,130,146.813333,0.0
MAXMIN|MAXMIN|BOUNDARY,left-turn-lane,W_N,10-30-Y,NEAR STATIONARY,Y,Y,Y,deprecated,784,130,147.814333,0.0
MAXMIN|MAXMIN|BOUNDARY,left-turn-lane,W_N,10-30-Y,NEAR STATIONARY,Y,Y,Y,deprecated,784,130,148.815333,0.0
MAXMIN|MAXMIN|BOUNDARY,left-turn-lane,W_N,10-30-Y,NEAR STATIONARY,Y,Y,Y,deprecated,784,130,149.816333,0.0
